oracion;palabra;cat_diccionario;y_true;spacy_pos;spacy_dep;y_pred_b1;y_pred_b2;pred_XLM-RoBERTa
Del otro lado, la expectativa de la defensa es “positiva”, afirmó Chacón, tras estimar que la defensa ha aportado todos los elementos de prueba de descargo y “consideramos que el resultado para nosotros va a demostrar las imputaciones hechas no son ciertas”.;defensa;f;0;NOUN;nmod;1;1;0
El vocero de la gremial indicó que la crisis de contenedores en China generó un problema logístico mundial al inicio de la pandemia por covid-19, a lo que se suma que ahora los barcos no tienen suficiente capacidad para traer contenedores.;mundial;m;0;ADJ;amod;1;0;0
El precio del bitcoin comenzó a caer el viernes pasado desde los $43,000 que se cotizaba, pero ayer en la tarde el criptoactivo ganó un poco del terreno perdido y se cotizaba a las 6:00 p.m.;caer;v;0;VERB;xcomp;1;1;0
La Asociación de Periodistas de El Salvador (APES) aclaró este lunes que su Comisión de Ética conocerá de manera independiente la denuncia del ministro de Gobernación, Juan Carlos Bidegaín, en contra de una periodista de la revista Factum y el medio por una supuesta serie de faltas a la ética periodística.;medio;m;1;NOUN;conj;1;1;0
Aunque una buena parte de los trabajadores, sobre todo público y municipal, se encuentran en vacaciones desde el sábado pasado mientras que los privados descansan desde este miércoles 13.;miércoles;sust(m/f)/adj;0;NOUN;obl;1;1;0
Esas declaraciones han afectado el prestigio del Ministerio de Hacienda donde labora un equipo de profesionales que ha hecho una carrera  y no se vale que por intereses políticos se juegue con el profesionalismo de los empleados de Hacienda, aseveró.;carrera;f;0;NOUN;obj;1;1;0
También aseveró que el presidente Nayib Bukele se comprometió “desde el primer día” a luchar contra las causas de la inmigración irregular.;contra;f;0;ADP;case;1;0;0
Esa suma millonaria fue trasladada a cuentas de particulares en el Banco Hipotecario a nombre de Francisco Rodríguez Arteaga, exgerente financiero de Casa Presidencial, y Pablo Gómez, excontador institucional, “quienes aparentemente movieron ese dinero a través de cheques bajo una completa violación a la normativa administrativa que establece la forma y el manejo de los fondos públicos”, explicó el fiscal De esa manera se lavó el dinero, haciendo uso del sistema financiero, de prestanombres o testaferros que sirvieron para encubrir el origen ilícito, el uso de empresas, la simulación de contratos para tratar de dar una apariencia que el dinero era procedente de un contrato o una relación contractual, lo cual no era cierto, explicó uno de los fiscales.;bajo;m;0;ADP;case;1;0;0
El jefe municipal destacó como uno de sus principales logros el programa Canchas Para Todos.;programa;m;0;NOUN;obj;1;1;0
Los Lineamientos de la Política Económica y Social del Partido y la Revolución, ampliamente discutidos y enriquecidos por nuestro pueblo y finalmente aprobados en abril del 2011 por el Sexto Congreso del Partido, trazan de manera clara y precisa el derrotero a seguir para lograr un socialismo eficiente y sostenible.;social;m/f;0;PROPN;conj;1;1;0
Sobre la carta Una pelea cubana contra el papeleo, de J.;pelea;f;0;NOUN;flat;1;1;0
Ayer el ministro verificó las obras que se realizan en la colonia La Posada, en San Jacinto, al sur de San Salvador, donde invertía unos $24,500 en la construcción de un paso peatonal, gradas y de contención que resultaron afectadas tras la formación de una cárcava generada por las recientes lluvias.;posada;f;0;PROPN;appos;1;1;0
De igual forma, señalaron que los vehículos de más de tres toneladas, tienen prohibido circular por la arteria, por lo que quienes no acaten la restricción, serán multados.;tres;m;0;NUM;nummod;1;0;0
El catedrático universitario, Miguel Ángel Serrano Melgar, deberá realizar un año y medio de trabajos de utilidad pública por violar orden de restricción de acercamiento a una ex alumna, con quien sostuvo una relación amorosa.;serrano;m;0;PROPN;flat;1;1;0
Ayer, el ministro de Trabajo, Rolando Castro, anunció que unas 75 empresas están bajo investigación del Ministerio de Trabajo y Previsión Social (MTPS) por no cumplir con las disposiciones de enviar a casa a los adultos mayores de 60 años y mujeres embarazadas.;trabajo;m;0;PROPN;nmod;1;1;0
“Hay una contralaría para el caso de quienes ejercemos la función pública y poder dar seguimiento a nuestro trabajo y todo lo que tiene que ver con nuestros ingresos, tiene que agotar las instancias que dentro del partido están”, afirmó Belloso.;dar;v;0;VERB;conj;1;1;0
Asimismo sugería reubicar la terminal de oriente en las cercanías de Apopa o en la parte oriente de Soyapango (donde se encuentra actualmente Plaza Amanecer), de igual forma recomendaba mover la terminal de occidente a Ciudad Merliot,  reubicar el mercado La Tiendona en la carretera Quezaltepeque- Apopa y construir una terminal de carga en la parte norte del AMSS.;terminal;m;0;NOUN;obj;1;1;1
La diputada del partido Vamos, Claudia Ortiz, valora que “hay un abuso claro y evidente del recurso de la dispensa de trámites” y que todos los casos hubo una emergencia, como lo indica el Reglamento, “sino porque es una manera de tomar por sorpresa a la opinión pública” y no dar suficiente debate.;emergencia;f;0;NOUN;obj;1;1;0
El artículo 68 de esta ley dice que “el Estado promoverá líneas de crédito preferenciales para la reactivación y promoción de la pesca y la acuicultura nacional.;crédito;m;0;NOUN;nmod;1;1;0
Mencionó que le quitaron la cartera, el teléfono celular y la encerraron en un cuarto bajo llave, entregándole otro tipo de ropa para que atendiera clientes con quienes debía tener relaciones sexuales.;bajo;m;0;ADJ;case;1;0;0
, y los bomberos, la Cruz Verde Salvadoreña, la Cruz Roja y decenas de voluntarios lucharon casi cinco horas para lograr contener las voraces llamas.;roja;f;0;PROPN;flat;1;1;0
Los traslados comenzaron el jueves anterior, tras ordenarse el cierre del penal de Cojutepeque, y generó el traslado de unos 1,200 reclusos hacia distintas cárceles, incluido el penal de Izalco.;cierre;m;0;NOUN;obj;1;1;0
Uno de los crímenes fue cometido en la comunidad El Descanso, la víctima es un menor de 16 años.;comunidad;f;0;NOUN;obl;1;1;0
Los fiscales del caso afirmaron que salieron sorprendido con el fallo del juez suplente del Juzgado Especializado de Sentencia A.;fallo;m;0;NOUN;obl;1;1;0
Por su parte, Jaime Wilfredo Cardona, de 42 años, fue asesinado en un vivero, situado en el cantón La Lima, Huizúcar, La Libertad.;vivero;m;0;NOUN;obl;1;1;0
Rank fue condenado a cinco años por lavado de dinero y activos, junto al expresidente Antonio Saca, el exsecretario privado de ese gobierno, Élmer Charlaix, el exsecretario de la juventud, César Funes y los exempleados de Casa Presidencial, Pablo Gómez, Francisco Rodríguez y Jorge Herrera.;casa;f;0;PROPN;nmod;1;1;0
Yo creo que de 30 a 40 días puede determinarse que se está en la normalidad (del suministro de agua potable)”, dijo tras presentar las acciones que han sido ejecutadas por el Gobierno para paliar la crisis hídrica.;presentar;v;0;VERB;advcl;1;1;0
El Conab publicó una lista de bienes donde aparecen residencias y ranchos de playa del exjefe de la unidad financiera, Francisco Rodríguez, que ayer pasaron a ser administradas por el Consejo Nacional de Administración de Bienes (Conab).;playa;f;0;NOUN;nmod;1;1;0
Asimismo, la institución alertó sobre la persistencia del embarazo infantil forzado en El Salvador, y la penalización absoluta del aborto “como una forma de violencia institucional y tortura”, y llamó al Estado a cumplir con las recomendaciones de los Comités Monitores de Derechos Humanos de Naciones Unidas para comprometerse a revisar su legislación punitiva del aborto.;sobre;m;0;ADP;case;1;0;0
El menor, llamado Alexander Vásquez, fue arrastrado ante las intensas lluvias del pasado martes, junto a su padre, cuando trataban de cruzarse el río.;alexander;m;0;PROPN;obj;1;1;0
Entre los asistentes a la convocatoria de hoy llegó Lady Drag, un ícono del descontento social en las últimas protestas en El Salvador, creado por el artista salvadoreño Marvin Pleitez.;social;m/f;0;ADJ;amod;1;0;0
En el municipio de Usulután fueron asesinados los jornaleros Milton Ismael Rodríguez, de 32 y Ronualdo Luna, de 26, en el cantón Hacienda La Carrera.;luna;f;0;PROPN;flat;1;1;0
En un comunicado de prensa, Casa Presidencial informó que el viceministro de operaciones, Francisco Alabí “coordinó la aplicación del protocolo” y se cumplió con la identificación y desabordaje controlado.;casa;f;0;PROPN;nsubj;1;1;0
Los señalados son: Según los fiscales, los imputados afectaron al Estado desviándose y quedándose con   con el aval de Mauricio Funes hubo un arreglo directo entre la empresa italiana Astaldi, que tenía a cargo la construcción de la presa, y la CEL.;aval;m;0;NOUN;obl;1;1;0
La MS-13 desde hace muchos años comenzó por ordenar la casa y geográficamente abarcaron todo el territorio instalando 249 clicas y 48 programas (células)  todos bajo la orden de los cabecillas quienes han impuestos sus reglas.;bajo;m;0;ADP;case;1;0;0
Este cargo, conocido en otros países como “Defensor del Pueblo”, deposita en la persona que lo ejerce una verdadera magistratura moral, para la cual los conocimientos, la trayectoria y la moralidad, se combinan para garantizar un mandato independiente, capaz de frenar los excesos del poder.;capaz;adv;0;ADJ;amod;1;0;0
Además, la comuna, a través de un comunicado, informó que la construcción del mercado Hula Hula  se prevé finalice el próximo año, y permitirá que miles de vendedores de la calle Rubén Dario pasen de la informalidad a la formalidad con este proyecto.;año;m;0;NOUN;obl;1;1;0
de robo agravado se les vinculan a algunos sujetos capturados.;les;pron;0;PRON;obj;1;1;0
Este estudio surgió cuando un familiar de un experto en privacidad 'online' y profesor asistente de Ingeniería eléctrica de esta institución, Kassem Fawaz, advirtió que   una aplicación destinada a las videollamadas.;privacidad;f;0;NOUN;nmod;1;1;0
Hasta el momento la Policía no reporta capturas sobre el hecho.;sobre;m;0;ADP;case;1;0;0
Mencionó que le quitaron la cartera, el teléfono celular y la encerraron en un cuarto bajo llave, entregándole otro tipo de ropa para que atendiera clientes con quienes debía tener relaciones sexuales.;llave;f;0;NOUN;nmod;1;1;0
Un joven anglo de 18 años abrió fuego contra los clientes de un supermercado en la ciudad de Buffalo, al norte del estado de Nueva York, y mató al menos a diez personas e hirió a un número no preciso de víctimas.;contra;f;0;ADP;case;1;0;0
El cadáver de Lilian Beatriz Méndez fue localizado el 21 de octubre de 2017 sobre la autopista Comalapa, jurisdicción de Olocuilta, La Paz.;sobre;m;0;ADP;case;1;0;0
"El Instituto Salvadoreño del Turismo (Istu) es el encargado de administrar los 14 parques recreativos del Estado, entre ellos, el parque Balboa, el parque de la Familia y la Puerta del Diablo; actualmente, el ingreso al parque Balboa y de la Familia cuesta $1.50 por persona y $1 por vehículo.";administrar;v;0;VERB;acl;1;1;1
Tres personas resultaron lesionadas en un accidente entre una rastra y un vehículo registrado este martes en el kilómetro 12 1/2 del bulevar Monseñor Romero.;bulevar;m;0;NOUN;nmod;1;1;1
La comisionada presidencial, Carolina Recinos, reveló que el presidente de la República ha ordenado, si es necesario, pagar un avión para sacar a Rebeca Castrillo, Sussy Melgar y Daniela López, tres becarias salvadoreñas, de la ciudad de Wuhan, epicentro del coronavirus.;carolina;f;0;PROPN;appos;1;1;0
El ministro de Salud, informó en su cuenta de Twitter que hoy, las cabinas para detectar casos de covid-19 estarán en el parque central de Intipucá en La Unión.;central;m;0;ADJ;amod;1;0;0
M.[/caption]   Madre e hijo, supuestos familiares de un agente de la corporación policial, fueron asesinados ayer en el caserío La Bomba, cantón Palacios de San Rafael Cedros, Cuscatlán.;madre;f;0;PROPN;flat;1;1;0
Por su parte, Simeduco destacó que han recibido reportes de seis maestros enfermos por el virus del SARS-CoV-2 en la institución, y entre tres y cinco sospechosos de la enfermedad.;tres;m;0;NUM;nummod;1;0;0
El cardenal Rosa Chávez debería ser ese factor de unidad que la Divina Providencia ha sembrado en nuestro país.;ser;m;0;AUX;cop;1;0;0
Para ello abrieron una zanja que implicó la rotura del pavimento con una profundidad de alrededor de un metro.;rotura;f;0;NOUN;obj;1;1;1
Casalco reveló esta información previo a que el Banco Central de Reserva (BCR) confirmara la semana pasada que el sector de construcción fue una de las cinco actividades que se contrajo en el primer trimestre del año en 4.8 %.;banco;m;0;PROPN;nsubj;1;1;0
Según las autoridades, las cifras las atribuyen al Plan Control Territorial impulsado por el Gobierno del presidente Nayib Bukele.;plan;m;0;PROPN;iobj;1;1;0
"""La condición de salud de Julio es bastante grave, por una parte tiene una enfermedad crónica grave y degenerativa, y que le ha producido daños en órganos blancos, pero a parte, por haber tenido grilletes desde hace mucho tiempo en el hospital donde estaba, se le ha calcificado susmiembros inferioresy muy probablemente tenga que ser amputado de uno de sus pies y eso tiene que ser ya en uno de estos días, si es que no se atiende adecuadamente, por lo tanto solicitamos a la sala de lo Constitucional a que sea ágil en la tramitación de este proceso"", dijo Quintanilla a la prensa.";prensa;f;0;NOUN;iobj;1;1;0
Brizuelaagregó que respetan la postura oficial del gobierno y a las personas encargadas para tomar decisiones, sin embargo, desde el observatorio ellos harán recomendaciones sobre las decisiones que tome el Ejecutivo.;sobre;m;0;ADP;case;1;0;0
El asalto había ocurrido en un autobús unas tres cuadras al oriente de donde ocurrió el tiroteo.;tiroteo;m;0;NOUN;nsubj;1;1;0
Méndez Oliva dijo a las autoridades que raptó al menor porque ella estuvo embarazada y perdió al niño, y había dicho a su pareja que el niño nació, pero estaba hospitalizado.;niño;m;0;NOUN;obj;1;1;0
Silva también afronta otro proceso judicial, por desacato, contra el exdiputado Schafick Handal, por hechos acontecidos en 5 de marzo de 2020, en la Asamblea.;contra;f;0;ADP;case;1;0;0
En septiembre, el Juzgado Primero de Vigilancia Penitenciaria y Ejecución de la Pena negó la libertad condicional anticipada que la defensa pidió el 16 de agosto, alegando el estado delicado del exsecretario de comunicaciones de la Presidencia, Julio Rank.;defensa;f;0;NOUN;nsubj;1;1;0
La expansión mundial de la Mara Salvatrucha (MS-13)  no es una casualidad ya que la cúpula de esta estructura diseñó una estrategia para tener designados en países clave del continente americano y Europa.;mundial;m;0;ADJ;amod;1;0;0
El alcalde de San Salvador, Ernesto Muyshondt, se reunió este viernes con alrededor de 30 vendedores informales para continuar el diálogo sobre el ordenamiento del centro capitalino.;sobre;m;0;ADP;case;1;0;0
La dirigencia del FMLN reconoció su histórica derrota electoral del domingo y aseguró que tomaría “decisiones” para “corregir lo que sea necesario”.;corregir;v;0;VERB;advcl;1;1;0
"A su cliente, indicó, lo acusan ""nada más de lavado de dinero y activos"".";lavado;m;0;ADJ;nmod;1;0;0
De ese modo, entrenaron un clasificador de actividades cotidianas utilizando el audio de vídeos de YouTube que representaban seis actividades habituales en segundo plano: cocinar, comer, escuchar música, teclear y limpiar.;cocinar;v;0;VERB;acl;1;1;0
