oracion;palabra;cat_diccionario;y_true;spacy_pos;spacy_dep;y_pred_b1;y_pred_b2
Las declaraciones fueron dadas ayer, cuando el Ministerio de Obras Públicas presentó su rendición de cuentas del tercer año de gestión, donde dijeron haber invertido $228 millones en obras.;año;m;0;NOUN;nmod;1;1
Transitan al día, entre buses, transporte de carga y vehículos particulares.;carga;f;0;NOUN;nmod;1;1
La propuesta que discutirá hoy el Tribunal Supremo Electoral (TSE) consiste en habilitar Juntas Receptoras de Votos (JRV) especiales para sectores vulnerables para las elecciones 2024.;habilitar;v;1;VERB;xcomp;1;1
Dora de Barahona, magistrada presidenta del TSE, explicó a Diario El Mundo que su propuesta busca fomentar “la inclusión” de todos los sectores.;busca;f;0;VERB;ccomp;1;0
“La idea es ser más inclusivos con la emisión del voto, a estas personas de sectores vulnerables, porque los centros de votación no están diseñados como que las personas puedan subir gradas”, dijo.;ser;m;0;AUX;cop;1;0
“La idea es ser más inclusivos con la emisión del voto, a estas personas de sectores vulnerables, porque los centros de votación no están diseñados como que las personas puedan subir gradas”, dijo.;subir;v;0;VERB;advcl;1;1
La funcionaria mencionó que pretende proponer al organismo colegiado la habilitación de una JRV a la entrada de un centro de votación para que los ciudadanos ejerzan su derecho con la asistencia requerida en un proceso expedito.;habilitación;f;0;NOUN;obj;1;1
La funcionaria mencionó que pretende proponer al organismo colegiado la habilitación de una JRV a la entrada de un centro de votación para que los ciudadanos ejerzan su derecho con la asistencia requerida en un proceso expedito.;entrada;f;0;NOUN;nmod;1;1
La funcionaria mencionó que pretende proponer al organismo colegiado la habilitación de una JRV a la entrada de un centro de votación para que los ciudadanos ejerzan su derecho con la asistencia requerida en un proceso expedito.;centro;m;0;NOUN;nmod;1;1
La funcionaria mencionó que pretende proponer al organismo colegiado la habilitación de una JRV a la entrada de un centro de votación para que los ciudadanos ejerzan su derecho con la asistencia requerida en un proceso expedito.;asistencia;f;0;NOUN;obl;1;1
Los magistrados trabajarán un nuevo programa de género del Plan General de Elecciones (Plagel).;programa;m;0;NOUN;obj;1;1
Los magistrados trabajarán un nuevo programa de género del Plan General de Elecciones (Plagel).;plan;m;0;PROPN;nmod;1;1
En este programa integrarán a los sectores vulnerables y diseñarán capacitaciones y campañas.;programa;m;0;NOUN;obl;1;1
La magistrada aseguró que por el momento se encuentran en pláticas con la Dirección de Organización Electoral (DOE) y Dirección de Registro Electoral.;registro;m;0;PROPN;flat;1;1
“Le hemos pedido su opinión a las dos direcciones para ver la factibilidad y un consenso con el equipo técnico para ver cómo en el padrón electoral sería el tratamiento que se le da”, afirmó la funcionaria.;ver;v;0;VERB;advcl;1;1
“Le hemos pedido su opinión a las dos direcciones para ver la factibilidad y un consenso con el equipo técnico para ver cómo en el padrón electoral sería el tratamiento que se le da”, afirmó la funcionaria.;ver;v;0;VERB;advcl;1;1
Un muerto y dos lesionados dejó el vuelco de una rastra cementera en el kilómetro 86 de la carretera que conduce hacia Metapán, jurisdicción de Texistepeque, Santa Ana.;rastra;f;1;ADJ;amod;1;0
Un muerto y dos lesionados dejó el vuelco de una rastra cementera en el kilómetro 86 de la carretera que conduce hacia Metapán, jurisdicción de Texistepeque, Santa Ana.;conduce;m;0;VERB;acl;1;0
Según información del Cuerpo de Bomberos, el accidente cobró la vida de un peatón identificado como Pedro Milton Quijada Hernández de 45 años, quien al parecer fue embestido por el automotor cuando pasaba por el lugar.;quijada;f;0;PROPN;flat;1;1
El conductor de la rastra y un acompañante quedaron atrapados, por lo que Bomberos en conjunto con el personal de la Cruz Roja Salvadoreña y Cruz Verde Salvadoreña, tuvieron que hacer uso de equipos hidráulicos de corte y expansión para rescatarlos con vida.;conductor;m;0;NOUN;nsubj;1;1
El conductor de la rastra y un acompañante quedaron atrapados, por lo que Bomberos en conjunto con el personal de la Cruz Roja Salvadoreña y Cruz Verde Salvadoreña, tuvieron que hacer uso de equipos hidráulicos de corte y expansión para rescatarlos con vida.;rastra;f;1;NOUN;nmod;1;1
El conductor de la rastra y un acompañante quedaron atrapados, por lo que Bomberos en conjunto con el personal de la Cruz Roja Salvadoreña y Cruz Verde Salvadoreña, tuvieron que hacer uso de equipos hidráulicos de corte y expansión para rescatarlos con vida.;roja;f;0;PROPN;flat;1;1
El conductor de la rastra y un acompañante quedaron atrapados, por lo que Bomberos en conjunto con el personal de la Cruz Roja Salvadoreña y Cruz Verde Salvadoreña, tuvieron que hacer uso de equipos hidráulicos de corte y expansión para rescatarlos con vida.;corte;m;0;NOUN;nmod;1;1
Los lesionados fueron identificados como Adalberto Meléndez de 31 años y René Zelaya de 42 años –conductor del automotor– quienes fueron traslados de inmediato a un centro hospitalario.;conductor;m;0;NOUN;appos;1;1
Los lesionados fueron identificados como Adalberto Meléndez de 31 años y René Zelaya de 42 años –conductor del automotor– quienes fueron traslados de inmediato a un centro hospitalario.;centro;m;0;NOUN;obl;1;1
Bomberos detalló que el conductor tenía atrapadas las piernas y uno de sus brazos.;conductor;m;0;NOUN;nsubj;1;1
"“Él siempre estuvo consciente, nunca perdió el conocimiento; el rescate se complicó ya que su brazo estaba atrapado con la puerta, la cual recibió todo el peso del camión”, explicó.";brazo;m;0;NOUN;nsubj;1;1
"“Él siempre estuvo consciente, nunca perdió el conocimiento; el rescate se complicó ya que su brazo estaba atrapado con la puerta, la cual recibió todo el peso del camión”, explicó.";peso;m;0;NOUN;obj;1;1
Y dos lesionados tras accidente de una rastra cementera.;rastra;f;1;ADJ;amod;1;0
De unas 20 instituciones que tienen presencia en el municipio de Santa Ana, solo el 25 % cuenta con programas de atención directa a personas retornadas, de acuerdo al estudio “Línea base sobre migración y retorno” realizado por la Organización Internacional para las Migraciones (OIM) y la alcaldía de Santa Ana, respaldado por la Agencia de los Estados Unidos para el Desarrollo Internacional (USAID), a través del programa Respuestas Integrales sobre Migración en Centroamérica.;línea;f;0;NOUN;appos;1;1
De unas 20 instituciones que tienen presencia en el municipio de Santa Ana, solo el 25 % cuenta con programas de atención directa a personas retornadas, de acuerdo al estudio “Línea base sobre migración y retorno” realizado por la Organización Internacional para las Migraciones (OIM) y la alcaldía de Santa Ana, respaldado por la Agencia de los Estados Unidos para el Desarrollo Internacional (USAID), a través del programa Respuestas Integrales sobre Migración en Centroamérica.;base;f;0;NOUN;flat;1;1
De unas 20 instituciones que tienen presencia en el municipio de Santa Ana, solo el 25 % cuenta con programas de atención directa a personas retornadas, de acuerdo al estudio “Línea base sobre migración y retorno” realizado por la Organización Internacional para las Migraciones (OIM) y la alcaldía de Santa Ana, respaldado por la Agencia de los Estados Unidos para el Desarrollo Internacional (USAID), a través del programa Respuestas Integrales sobre Migración en Centroamérica.;sobre;m;0;ADP;case;1;0
De unas 20 instituciones que tienen presencia en el municipio de Santa Ana, solo el 25 % cuenta con programas de atención directa a personas retornadas, de acuerdo al estudio “Línea base sobre migración y retorno” realizado por la Organización Internacional para las Migraciones (OIM) y la alcaldía de Santa Ana, respaldado por la Agencia de los Estados Unidos para el Desarrollo Internacional (USAID), a través del programa Respuestas Integrales sobre Migración en Centroamérica.;programa;m;0;NOUN;obl;1;1
De unas 20 instituciones que tienen presencia en el municipio de Santa Ana, solo el 25 % cuenta con programas de atención directa a personas retornadas, de acuerdo al estudio “Línea base sobre migración y retorno” realizado por la Organización Internacional para las Migraciones (OIM) y la alcaldía de Santa Ana, respaldado por la Agencia de los Estados Unidos para el Desarrollo Internacional (USAID), a través del programa Respuestas Integrales sobre Migración en Centroamérica.;sobre;m;0;ADP;case;1;0
En las restantes existen programas sobre fortalecimiento de capacidades, empleabilidad y reinserción productiva.;sobre;m;0;ADP;case;1;0
Hay mucho trabajo, pero la gente no logra identificar una ruta”, dijo Antonio Rosales, referente de OIM para Santa Ana.;trabajo;m;0;NOUN;obj;1;1
Hay mucho trabajo, pero la gente no logra identificar una ruta”, dijo Antonio Rosales, referente de OIM para Santa Ana.;ruta;f;0;NOUN;obj;1;1
El 38 % de instituciones ha recibido alguna formación en migración y retorno, que son: Ministerio de Relaciones Exteriores, Procuraduría para la Defensa de los Derechos Humanos (PDDH), Universidad de Santa Ana (Unasa) y la Alianza de Salvadoreños Retornados (Alsare).;defensa;f;0;PROPN;flat;1;1
La alcaldía de Santa Ana junto a Acnur está por concluir un programa de atención y de reinserción laboral de retornados en el municipio.;programa;m;0;NOUN;obj;1;1
El estudio define que la “primera red de apoyo” para las personas migrantes retornadas es la comunidad.;comunidad;f;1;NOUN;ccomp;1;1
El fenómeno del oleaje es generado por tormentas en el hemisferio sur del país y las autoridades prevén que sean más rápidas y altas que las habituales.;fenómeno;m;0;NOUN;nsubj;1;1
El Tribunal Supremo Electoral (TSE) no ha publicado información pública que debe divulgar de manera oficiosa, relacionada a las contrataciones que realiza, las adquisiciones, sus actas de reunión y los acuerdos tomados por el pleno.;manera;f;0;NOUN;obl;1;1
La Oficina de Asesoría Legal y Anticorrupción de El Salvador (Alac-Funde) interpuso una apelación ante el Instituto de Acceso a la Información Pública (IAIP) contra la negativa del TSE de entregar este tipo de información pública oficiosa.;contra;f;0;ADP;case;1;0
Alac-Funde también solicitó sancionar al oficial de información del TSE, Duque Mártir Deras Recinos.;duque;m;0;PROPN;appos;1;1
La apelación fue puesta por el Alac-Funde en el IAIP contra la resolución de inadmisibilidad del 9 de junio de 2022 a la solicitud de información realizada el 27 de mayo de 2022, argumentando que “la palabra todos no hace referencia exacta a los datos requeridos”.;contra;f;0;ADP;case;1;0
El portal de transparencia del TSE (tse.gob.sv/laip_tse) indica que la población puede encontrar en este sitio toda la información de interés público y oficiosa del TSE, “con el fin de transparentar el quehacer” de la institución.;portal;m;0;NOUN;nsubj;1;1
El portal de transparencia del TSE (tse.gob.sv/laip_tse) indica que la población puede encontrar en este sitio toda la información de interés público y oficiosa del TSE, “con el fin de transparentar el quehacer” de la institución.;sitio;m;0;NOUN;obl;1;1
Al ingresar en actas, no hay ninguna acta del año 2022 publicada.;año;m;0;NOUN;nmod;1;1
Chats de WhatsApp de presidenta de línea institucional de presidenta del TSE desde enero de 2021 entre ella y el resto de magistrados del TSE.;línea;f;0;NOUN;nmod;1;1
"El oficial de información del TSE previno al demandante de información pública, señalando que con la expresión ""copia electrónica de todos los acuerdos"" no se cumple el requerimiento legal, sobre descripción clara y precisa necesaria de la información solicitada.";sobre;m;0;ADP;case;1;0
"""Hago la promesa ante el país entero que ese recuerdo lo vamos a retomar y ese hecho se va a investigar"", porque ""a él le debemos la gloria como mártir de nuestra Iglesia junto con monseñor Romero"", dijo el purpurado en una parada hecha para saludar a fieles en su ruta hacia la capital.";ruta;f;0;NOUN;obl;1;1
"Rosa Chávez señaló que ""su muerte no ha sido aclarada y eso no lo podemos dejar así"" y que la Oficina de Tutela Legal de la Iglesia salvadoreña tiene ""toda una investigación"" que servirá para ""hacer un buen trabajo y buscar la verdad"".";trabajo;m;0;NOUN;obj;1;1
"Rosa Chávez señaló que ""su muerte no ha sido aclarada y eso no lo podemos dejar así"" y que la Oficina de Tutela Legal de la Iglesia salvadoreña tiene ""toda una investigación"" que servirá para ""hacer un buen trabajo y buscar la verdad"".";buscar;v;0;VERB;conj;1;1
El obispo Ramos fue herido la noche del 25 de junio de 1993 en la carretera entre San Salvador y el aeropuerto salvadoreño, en la zona central del país, supuestamente por delincuentes comunes que habían establecido un puesto de asalto y falleció horas después en un hospital.;zona;f;0;NOUN;obl;1;1
El obispo Ramos fue herido la noche del 25 de junio de 1993 en la carretera entre San Salvador y el aeropuerto salvadoreño, en la zona central del país, supuestamente por delincuentes comunes que habían establecido un puesto de asalto y falleció horas después en un hospital.;central;m;0;ADJ;amod;1;0
El obispo Ramos fue herido la noche del 25 de junio de 1993 en la carretera entre San Salvador y el aeropuerto salvadoreño, en la zona central del país, supuestamente por delincuentes comunes que habían establecido un puesto de asalto y falleció horas después en un hospital.;puesto;m;0;NOUN;obj;1;1
No obstante, la Iglesia salvadoreña mostró dudas desde el inicio sobre la versión oficial, dado que sus propias indagaciones apuntan a que el automóvil en el que se transportaba Ramos fue atacado al parecer sin la intención de cometer un robo.;sobre;m;0;ADP;case;1;0
No obstante, la Iglesia salvadoreña mostró dudas desde el inicio sobre la versión oficial, dado que sus propias indagaciones apuntan a que el automóvil en el que se transportaba Ramos fue atacado al parecer sin la intención de cometer un robo.;dado;m;0;NOUN;mark;1;1
"El papa Juan Pablo II calificó de ""bárbaro asesinato"" el crimen, registrado más de un año después del final de la guerra civil (1980-1992), que también fue condenado públicamente por los capellanes militares italianos.";papa;f;0;NOUN;nsubj;1;1
"El papa Juan Pablo II calificó de ""bárbaro asesinato"" el crimen, registrado más de un año después del final de la guerra civil (1980-1992), que también fue condenado públicamente por los capellanes militares italianos.";año;m;0;NOUN;obj;1;1
Ramos fue el segundo obispo asesinado en El Salvador, tras el crimen de monseñor Óscar Arnulfo Romero, ultimado por un escuadrón de la muerte en 1980 cuando oficiaba misa, ahora beato y en proceso de ser declarado santo.;ser;m;0;AUX;aux;1;0
El cardenal Rosa Chávez, nombrado el pasado 28 de junio por el papa Francisco en el Vaticano, arribó este martes a tierras salvadoreñas, donde fue recibido por el presidente, Salvador Sánchez Cerén, y cientos de fieles.;papa;f;0;NOUN;obj;1;1
De estos municipios, las autoridades han concentrado su atención en cinco, los cuales son: San Salvador, Santa Ana, Santa Tecla, Sonsonate y San Miguel.;concentrado;m;0;VERB;ROOT;1;0
De estos municipios, las autoridades han concentrado su atención en cinco, los cuales son: San Salvador, Santa Ana, Santa Tecla, Sonsonate y San Miguel.;cinco;m;0;NUM;obl;1;0
De acuerdo a la titular de esta cartera de Estado, la población más vulnerable siguen siendo los niños menores de cinco años, personas mayores de 60 y mujeres embarazadas.;cartera;f;0;NOUN;nmod;1;1
De acuerdo a la titular de esta cartera de Estado, la población más vulnerable siguen siendo los niños menores de cinco años, personas mayores de 60 y mujeres embarazadas.;cinco;m;0;NUM;nummod;1;0
"""Hasta la semana 25, cuando se decretó la alerta, los datos que tenemos es que llevamos alrededor de 18,706 neumonías en el país, pero infecciones respiratorias agudas llevamos un millón ciento treinta mil,  213, 684 casos de diarrea hasta el primero de julio"", dijo Menjívar en la entrevista de canal 10.";treinta;m;0;NUM;nummod;1;0
De todos los casos de neumonía registrados hasta el momento, 4,981 se han dado en menores de un año, 6,567 casos en niños entre 1-4 años y 3,512 en mayores de 60.;dado;m;0;VERB;ROOT;1;0
De todos los casos de neumonía registrados hasta el momento, 4,981 se han dado en menores de un año, 6,567 casos en niños entre 1-4 años y 3,512 en mayores de 60.;año;m;0;NOUN;nmod;1;1
Junto a las neumonías y las infecciones respiratorias, las diarreas se suman a las tres enfermedades que han reportado un mayor incremento en lo que va del año, según explicó.;tres;m;0;NUM;nummod;1;0
Junto a las neumonías y las infecciones respiratorias, las diarreas se suman a las tres enfermedades que han reportado un mayor incremento en lo que va del año, según explicó.;mayor;m;0;ADJ;amod;1;0
Junto a las neumonías y las infecciones respiratorias, las diarreas se suman a las tres enfermedades que han reportado un mayor incremento en lo que va del año, según explicó.;año;m;0;NOUN;obl;1;1
Pese al incremento, la funcionaria aseguró que en comparación con el año pasado, se reportan 4,000 casos menos, algo que atribuyó a la adquisición de vacunas que en total han sido un millón, de las cuales se han aplicado 550,000 mil.;año;m;0;NOUN;obl;1;1
"""El año pasado tuvimos incremento de neumonías, ahora tenemos como 4,000 casos menos.";año;m;0;NOUN;obl;1;1
"Hemos colocado mas de 550,000 dosis de vacunas, la mayoría en niños menores de cinco años y embarazadas"", detalló.";cinco;m;0;NUM;nummod;1;0
También fue firme al indicar que no están fuera de control tras el incremento de casos de estas enfermedades.;firme;m;1;ADJ;ROOT;1;0
Los fiscales y empleados administrativos que ingresaban a sus labores fueron sorprendidos por las dos calaveras pintadas en pedazos de cartón y colocadas en la fachada principal del edificio.;cartón;m;1;NOUN;nmod;1;1
La Fiscalía está situada sobre la 8a.;sobre;m;0;ADP;case;1;0
calle Poniente y avenida José Matías Delgado al nor poniente de esa cabecera departamental.;calle;f;0;NOUN;ROOT;1;1
La PNC cerró la calle, mientras técnicos del laboratorio científico policial levantaban huellas que pudieran llevar a los sujetos que colocaron los cartones en la ventana.;calle;f;0;NOUN;obj;1;1
La PNC cerró la calle, mientras técnicos del laboratorio científico policial levantaban huellas que pudieran llevar a los sujetos que colocaron los cartones en la ventana.;llevar;v;0;VERB;acl;1;1
La PNC a través del sistema de emergencia 911 incrementó los patrullajes en los contornos de la oficina fiscal, a petición de la institución.;emergencia;f;0;NOUN;nmod;1;1
"El fiscal general Douglas Meléndez denunció el pasado 12 de julio que tanto su persona, como la institución, están siendo víctimas de amenazas y de una conspiración; incluso dijo que “algunos personajes” pagan trolles para desprestigiar el trabajo fiscal, dijo Meléndez.";trabajo;m;0;NOUN;obj;1;1
El director de la Policía Nacional Civil reportó la captura de 90 de los 100 delincuentes más buscados, programa iniciado el año pasado para sacar de circulación a peligrosos pandilleros, vinculados con homicidios y extorsiones.;programa;m;0;NOUN;appos;1;1
El director de la Policía Nacional Civil reportó la captura de 90 de los 100 delincuentes más buscados, programa iniciado el año pasado para sacar de circulación a peligrosos pandilleros, vinculados con homicidios y extorsiones.;año;m;0;NOUN;obl;1;1
El director de la Policía Nacional Civil reportó la captura de 90 de los 100 delincuentes más buscados, programa iniciado el año pasado para sacar de circulación a peligrosos pandilleros, vinculados con homicidios y extorsiones.;sacar;v;0;VERB;advcl;1;1
El sujeto es considerado que posee un amplio récord delictivo.;récord;m;1;NOUN;obj;1;1
La actual “Ley de protección integral de la niñez y adolescencia” indica que los niños y adolescentes tienen derecho a educación en salud sexual y reproductiva “de forma prioritaria por su madre y padre” y que el Estado les “garantizará” el acceso a “programas de salud y educación sexual”, además de que deberá incluir la educación sexual y reproductiva como parte de sus programas.;madre;f;0;NOUN;nmod;1;1
La actual “Ley de protección integral de la niñez y adolescencia” indica que los niños y adolescentes tienen derecho a educación en salud sexual y reproductiva “de forma prioritaria por su madre y padre” y que el Estado les “garantizará” el acceso a “programas de salud y educación sexual”, además de que deberá incluir la educación sexual y reproductiva como parte de sus programas.;les;pron;1;PRON;obj;1;1
El ministro de Educación, Ciencia y Tecnología, Mauricio Pineda, fue cuestionado sobre el tema en la Comisión de Familia.;ciencia;m/f;0;PROPN;conj;1;1
El ministro de Educación, Ciencia y Tecnología, Mauricio Pineda, fue cuestionado sobre el tema en la Comisión de Familia.;sobre;m;0;ADP;case;1;0
El funcionario respondió que las redes sociales “están explotando acerca del artículo 33” pero señaló que es bueno que se estén interesando en el tema y que la regulación no tiene que ver en promover la promiscuidad.;ver;v;0;VERB;conj;1;1
“Esta no es una ley que está promoviendo la promiscuidad ni las relaciones sexocoitales, ni mucho menos, esta es una ley basada en educación pero basada sobre todo en derechos humanos e igualdad de género...;sobre;m;0;ADP;advmod;1;0
Citada por ACI Prensa, Sara Larín, presidenta de la Fundación VIDA SV, rechaza la eliminación del “derecho prioritario de los padres a educar a sus hijos” en la nueva Ley Crecer Juntos, así como las disposiciones en las que se delega al Estado como responsable de garantizar la educación integral de la sexualidad y en las que indican que se fomentarían “las relaciones sociales y sexuales respetuosas”.;prensa;f;0;PROPN;flat;1;1
Durante la reunión, el ministro aseguró que la Ley Crecer Juntos implicará un “salto de calidad en los servicios de educación” en El Salvador.;salto;m;0;NOUN;obj;1;1
El funcionario añadió que esta ley les dota de herramientas para combatir la violencia en el entono educativo y que la “meta es que todos los centros escolares se conviertan en espacios seguros” en donde los niños se desarrollen “integralmente”.;les;pron;1;PRON;obj;1;1
Según Pineda, esta nueva ley da herramientas para eliminar las causas del ausentismo y la deserción de niños entre 4 y 18 años de edad, así como dar alertas tempranas para prevenir la violencia y la deserción, y dar seguimiento a inasistencias injustificadas..;ausentismo;m;1;NOUN;nmod;1;1
Según Pineda, esta nueva ley da herramientas para eliminar las causas del ausentismo y la deserción de niños entre 4 y 18 años de edad, así como dar alertas tempranas para prevenir la violencia y la deserción, y dar seguimiento a inasistencias injustificadas..;dar;v;0;VERB;conj;1;1
Según Pineda, esta nueva ley da herramientas para eliminar las causas del ausentismo y la deserción de niños entre 4 y 18 años de edad, así como dar alertas tempranas para prevenir la violencia y la deserción, y dar seguimiento a inasistencias injustificadas..;dar;v;0;VERB;conj;1;1
El presidente Nayib Bukele no habría atendido llamadas del Secretario de Estado de los Estados Unidos, Antony Blinken para invitarlo personalmente a la Cumbre de las Américas, reveló ayer The New York Times que cita los esfuerzos de la administración de Biden para evitar la vergüenza de un boicot por parte de líderes clave, solo para encontrar que sus propuestas fueron rechazadas.;clave;f;0;NOUN;nmod;1;1
Según el diario estadounidense, los funcionarios estadounidenses pasaron semanas negociando con el gobierno mexicano, tratando de encontrar una manera de atraer al presidente Andrés Manuel López Obrador a la reunión en Los Ángeles.;manera;f;0;NOUN;obj;1;1
La vicepresidenta Kamala Harris llamó a la presidenta de Honduras para convencerla de que asistiera y también se enviaron funcionarios de alto nivel para tratar de convencer a los líderes de El Salvador y Guatemala.;tratar;v;0;VERB;advcl;1;1
Blinken, según cuatro personas familiarizadas con el alcance que no estaban autorizadas para hablar en público, dice el periódico neoyorquino.;hablar;v;0;VERB;advcl;1;1
Bukele no ha hecho público su razonamiento para no ir a la cumbre, pero personas familiarizadas con el pensamiento del presidente salvadoreño dicen que no vio el sentido de los apretones de manos y las sesiones fotográficas cuando el diálogo con Estados Unidos está fundamentalmente roto, dice el diario.;sentido;m;0;NOUN;obj;1;1
Un cabo del Ejército salvadoreño fue asesinado en horas de la tarde de este sábado, reportó la Fiscalía General de la República (FGR).;cabo;m;0;NOUN;nsubj;1;1
