archivo;oracion_id;oracion;cubanismo_detectado;lema_bd;categoria_gramatical;es_cubanismo;ia_sugiere;ia_razon;ia_beto_final
10733.txt;5;No obstante, la Iglesia salvadoreña mostró dudas desde el inicio sobre la versión oficial, dado que sus propias indagaciones apuntan a que el automóvil en el que se transportaba Ramos fue atacado al parecer sin la intención de cometer un robo.;dado;dado;m;0.0;;;0
10733.txt;6;"El papa Juan Pablo II calificó de ""bárbaro asesinato"" el crimen, registrado más de un año después del final de la guerra civil (1980-1992), que también fue condenado públicamente por los capellanes militares italianos.";papa;papa;f;0.0;;;0
10733.txt;6;"El papa Juan Pablo II calificó de ""bárbaro asesinato"" el crimen, registrado más de un año después del final de la guerra civil (1980-1992), que también fue condenado públicamente por los capellanes militares italianos.";año;año;m;0.0;;;0
10733.txt;7;Ramos fue el segundo obispo asesinado en El Salvador, tras el crimen de monseñor Óscar Arnulfo Romero, ultimado por un escuadrón de la muerte en 1980 cuando oficiaba misa, ahora beato y en proceso de ser declarado santo.;ser;ser;m;0.0;;;0
10733.txt;9;El cardenal Rosa Chávez, nombrado el pasado 28 de junio por el papa Francisco en el Vaticano, arribó este martes a tierras salvadoreñas, donde fue recibido por el presidente, Salvador Sánchez Cerén, y cientos de fieles.;papa;papa;f;0.0;;;0
10829.txt;3;De estos municipios, las autoridades han concentrado su atención en cinco, los cuales son: San Salvador, Santa Ana, Santa Tecla, Sonsonate y San Miguel.;concentrado;concentrado;m;0.0;;;0
10829.txt;3;De estos municipios, las autoridades han concentrado su atención en cinco, los cuales son: San Salvador, Santa Ana, Santa Tecla, Sonsonate y San Miguel.;cinco;cinco;m;0.0;;;0
10829.txt;5;De acuerdo a la titular de esta cartera de Estado, la población más vulnerable siguen siendo los niños menores de cinco años, personas mayores de 60 y mujeres embarazadas.;cartera;cartera;f;0.0;;;0
10829.txt;5;De acuerdo a la titular de esta cartera de Estado, la población más vulnerable siguen siendo los niños menores de cinco años, personas mayores de 60 y mujeres embarazadas.;cinco;cinco;m;0.0;;;0
10829.txt;7;"""Hasta la semana 25, cuando se decretó la alerta, los datos que tenemos es que llevamos alrededor de 18,706 neumonías en el país, pero infecciones respiratorias agudas llevamos un millón ciento treinta mil,  213, 684 casos de diarrea hasta el primero de julio"", dijo Menjívar en la entrevista de canal 10.";treinta;treinta;m;0.0;;;0
10829.txt;8;De todos los casos de neumonía registrados hasta el momento, 4,981 se han dado en menores de un año, 6,567 casos en niños entre 1-4 años y 3,512 en mayores de 60.;dado;dado;m;0.0;;;0
10829.txt;8;De todos los casos de neumonía registrados hasta el momento, 4,981 se han dado en menores de un año, 6,567 casos en niños entre 1-4 años y 3,512 en mayores de 60.;año;año;m;0.0;;;0
10829.txt;9;Junto a las neumonías y las infecciones respiratorias, las diarreas se suman a las tres enfermedades que han reportado un mayor incremento en lo que va del año, según explicó.;tres;tres;m;0.0;;;0
10829.txt;9;Junto a las neumonías y las infecciones respiratorias, las diarreas se suman a las tres enfermedades que han reportado un mayor incremento en lo que va del año, según explicó.;mayor;mayor;m;0.0;;;0
10829.txt;9;Junto a las neumonías y las infecciones respiratorias, las diarreas se suman a las tres enfermedades que han reportado un mayor incremento en lo que va del año, según explicó.;año;año;m;0.0;;;0
10829.txt;10;Pese al incremento, la funcionaria aseguró que en comparación con el año pasado, se reportan 4,000 casos menos, algo que atribuyó a la adquisición de vacunas que en total han sido un millón, de las cuales se han aplicado 550,000 mil.;año;año;m;0.0;;;0
10829.txt;11;"""El año pasado tuvimos incremento de neumonías, ahora tenemos como 4,000 casos menos.";año;año;m;0.0;;;0
10829.txt;12;"Hemos colocado mas de 550,000 dosis de vacunas, la mayoría en niños menores de cinco años y embarazadas"", detalló.";cinco;cinco;m;0.0;;;0
10829.txt;13;También fue firme al indicar que no están fuera de control tras el incremento de casos de estas enfermedades.;firme;firme;m;1.0;;;0
11042.txt;2;Los fiscales y empleados administrativos que ingresaban a sus labores fueron sorprendidos por las dos calaveras pintadas en pedazos de cartón y colocadas en la fachada principal del edificio.;cartón;cartón;m;1.0;;;1
11042.txt;3;La Fiscalía está situada sobre la 8a.;sobre;sobre;m;0.0;;;0
11042.txt;4;calle Poniente y avenida José Matías Delgado al nor poniente de esa cabecera departamental.;calle;calle;f;0.0;;;0
11042.txt;5;La PNC cerró la calle, mientras técnicos del laboratorio científico policial levantaban huellas que pudieran llevar a los sujetos que colocaron los cartones en la ventana.;calle;calle;f;0.0;;;0
11042.txt;5;La PNC cerró la calle, mientras técnicos del laboratorio científico policial levantaban huellas que pudieran llevar a los sujetos que colocaron los cartones en la ventana.;llevar;llevar;v;0.0;;;0
11042.txt;7;La PNC a través del sistema de emergencia 911 incrementó los patrullajes en los contornos de la oficina fiscal, a petición de la institución.;emergencia;emergencia;f;0.0;;;0
11042.txt;8;"El fiscal general Douglas Meléndez denunció el pasado 12 de julio que tanto su persona, como la institución, están siendo víctimas de amenazas y de una conspiración; incluso dijo que “algunos personajes” pagan trolles para desprestigiar el trabajo fiscal, dijo Meléndez.";trabajo;trabajo;m;0.0;;;0
11871.txt;1;El director de la Policía Nacional Civil reportó la captura de 90 de los 100 delincuentes más buscados, programa iniciado el año pasado para sacar de circulación a peligrosos pandilleros, vinculados con homicidios y extorsiones.;programa;programa;m;0.0;;;0
11871.txt;1;El director de la Policía Nacional Civil reportó la captura de 90 de los 100 delincuentes más buscados, programa iniciado el año pasado para sacar de circulación a peligrosos pandilleros, vinculados con homicidios y extorsiones.;año;año;m;0.0;;;0
11871.txt;1;El director de la Policía Nacional Civil reportó la captura de 90 de los 100 delincuentes más buscados, programa iniciado el año pasado para sacar de circulación a peligrosos pandilleros, vinculados con homicidios y extorsiones.;sacar;sacar;v;0.0;;;0
11871.txt;6;El sujeto es considerado que posee un amplio récord delictivo.;récord;récord;m;1.0;;;1
12112.txt;1;La actual “Ley de protección integral de la niñez y adolescencia” indica que los niños y adolescentes tienen derecho a educación en salud sexual y reproductiva “de forma prioritaria por su madre y padre” y que el Estado les “garantizará” el acceso a “programas de salud y educación sexual”, además de que deberá incluir la educación sexual y reproductiva como parte de sus programas.;madre;madre;f;0.0;;;1
12112.txt;1;La actual “Ley de protección integral de la niñez y adolescencia” indica que los niños y adolescentes tienen derecho a educación en salud sexual y reproductiva “de forma prioritaria por su madre y padre” y que el Estado les “garantizará” el acceso a “programas de salud y educación sexual”, además de que deberá incluir la educación sexual y reproductiva como parte de sus programas.;les;les;pron;1.0;;;1
12112.txt;4;El ministro de Educación, Ciencia y Tecnología, Mauricio Pineda, fue cuestionado sobre el tema en la Comisión de Familia.;ciencia;ciencia;m/f;0.0;;;0
12112.txt;4;El ministro de Educación, Ciencia y Tecnología, Mauricio Pineda, fue cuestionado sobre el tema en la Comisión de Familia.;sobre;sobre;m;0.0;;;0
12112.txt;5;El funcionario respondió que las redes sociales “están explotando acerca del artículo 33” pero señaló que es bueno que se estén interesando en el tema y que la regulación no tiene que ver en promover la promiscuidad.;ver;ver;v;0.0;;;0
12112.txt;6;“Esta no es una ley que está promoviendo la promiscuidad ni las relaciones sexocoitales, ni mucho menos, esta es una ley basada en educación pero basada sobre todo en derechos humanos e igualdad de género...;sobre;sobre;m;0.0;;;0
12112.txt;8;Citada por ACI Prensa, Sara Larín, presidenta de la Fundación VIDA SV, rechaza la eliminación del “derecho prioritario de los padres a educar a sus hijos” en la nueva Ley Crecer Juntos, así como las disposiciones en las que se delega al Estado como responsable de garantizar la educación integral de la sexualidad y en las que indican que se fomentarían “las relaciones sociales y sexuales respetuosas”.;prensa;prensa;f;0.0;;;0
12112.txt;9;Durante la reunión, el ministro aseguró que la Ley Crecer Juntos implicará un “salto de calidad en los servicios de educación” en El Salvador.;salto;salto;m;0.0;;;0
12112.txt;10;El funcionario añadió que esta ley les dota de herramientas para combatir la violencia en el entono educativo y que la “meta es que todos los centros escolares se conviertan en espacios seguros” en donde los niños se desarrollen “integralmente”.;les;les;pron;1.0;;;0
12112.txt;11;Según Pineda, esta nueva ley da herramientas para eliminar las causas del ausentismo y la deserción de niños entre 4 y 18 años de edad, así como dar alertas tempranas para prevenir la violencia y la deserción, y dar seguimiento a inasistencias injustificadas..;ausentismo;ausentismo;m;1.0;;;1
12112.txt;11;Según Pineda, esta nueva ley da herramientas para eliminar las causas del ausentismo y la deserción de niños entre 4 y 18 años de edad, así como dar alertas tempranas para prevenir la violencia y la deserción, y dar seguimiento a inasistencias injustificadas..;dar;dar;v;0.0;;;0
12112.txt;11;Según Pineda, esta nueva ley da herramientas para eliminar las causas del ausentismo y la deserción de niños entre 4 y 18 años de edad, así como dar alertas tempranas para prevenir la violencia y la deserción, y dar seguimiento a inasistencias injustificadas..;dar;dar;v;0.0;;;0
